voltage applied,current,current err
-9,3.9542,0.1
-7,2.9511,0.1
-5,2.7116,0.1
-3,2.1383,0.1
-2,1.45297,0.1
-1,0.37679,0.01
0,0.00213,0.001
1,0.00015,0.0001
2,0.00029,0.0001
3,0.00035,0.0001
5,0.00041,0.0001
7,0.00043,0.0001
9,0.00045,0.0001
