voltage applied,current observed,current observed,current observed,average,error
-9,,,,,
-8.75,,,,,
-8.5,,,,,
-8.25,,,,,
-8,,,,,
-7.75,,,,,
-7.5,,,,,
-7.25,,,,,
-7,,,,,
-6.75,,,,,
-6.5,,,,,
-6.25,,,,,
-6,,,,,
-5.75,,,,,
-5.5,,,,,
-5.25,,,,,
-5,,,,,
-4.75,,,,,
-4.5,,,,,
-4.25,,,,,
-4,,,,,
-3.75,,,,,
-3.5,,,,,
-3.25,,,,,
-3,,,,,
-2.75,,,,,
-2.5,,,,,
-2.25,,,,,
-2,,,,,
-1.75,,,,,
-1.5,,,,,
-1.25,,,,,
-1,,,,,
-0.75,,,,,
-0.5,,,,,
-0.25,,,,,
0,,,,,
0.25,,,,,
0.5,,,,,
0.75,,,,,
1,,,,,
1.25,,,,,
1.5,,,,,
1.75,,,,,
2,,,,,
2.25,,,,,
2.5,,,,,
3,,,,,
3.5,,,,,
4,,,,,
4.5,,,,,
5,,,,,
5.5,,,,,
6,,,,,
6.5,,,,,
7,,,,,
7.5,,,,,
8,,,,,
8.5,,,,,
9,,,,,
